brand,url_post,caption,likes,comments_count,all_comments,media_type,dominant_color,color_name,upload_time,profile_category,hashtags,post_hour,post_day
batikula,https://www.instagram.com/batikula/reel/DLd7vk7zNfU/,"Biasanya Senin bakal penuh drama 🤣….Tapi kalau bajunya seunik dan semanis ini,berangkat kerja kayak udah disambut sama vibes good mood dari pagi ☀️.So, Asmara Tunik bakal jadi next koleksi batikmu ❤️?Segera di Batikula 💯.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",479,46,"Kelass LD 110 ada kak Sebentar lagi akan ada di lemari bajuku Cakeeeppp bangeeets Ka ini masih ready stok kah? Siap war Please restock aku kehabisan kak Belinya gmn Berapa KK ini bisa GK ya buat kerja Jadi bingung mau beli yg mana, bagus semua Baguus Verified in Indonesia Instagram from AI",reel,,,2025-06-29 02:22:13,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,2,Sunday
batikula,https://www.instagram.com/batikula/reel/DLbn9Acz2Li/,"Soft, sweet, and smart 💗.Warna pink di baju ini bukan sekadar manis, tapi juga kasih kesan dewasa dan terstruktur ✨. Intanayu Tunik ini cocok buat hari-hari meeting, atau pas kamu lagi pengen kelihatan effortless ngantor 👌.Segera di Batikula 💯.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",64,36,LE SSERAFIMDIFFERENT Blm punyaa model kyk gini nih Mauuu kapan launching kaa? Verified in Indonesia Instagram from AI,reel,,,2025-06-28 04:50:23,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,4,Saturday
batikula,https://www.instagram.com/batikula/reel/DLYpMp0z9eN/,"Ini koleksi yang kamu tunggu-tunggu upgradenya 💜!Yes, Utami Tunik sekarang hadir dengan tambahan lapisan furing premium di dalamnya. Lebih nyaman, lebih adem, dan pastinya bikin looksnya mewah dan formal 😉. Dapatkan sekarang hanya Shopee & WhatsApp Batikula ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",137,44,Utami Brp kak Lengannya juga furing dong kak biar ga kusut Utami Utami Utami Arrgghh udh punya yg tanpa furing pasti lebih nyaman dipakai Utami Utami Kenapa gak semuanya dikasi furing kak?enakan pake furing lho Cara pesannya gimana ka? Verified in Indonesia Instagram from AI,reel,,,2025-06-27 01:03:35,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,1,Friday
batikula,https://www.instagram.com/batikula/p/DLUUkSlzJMd/,"Batikmu bisa gini ga 🤔?✅ Cocok buat ngantor✅ Bisa juga buat dipakai hangoutApalagi kalau bukan Kedasih Blouse, si coklat mauve favoritnya Batikulamates ❤️. Koleksi ini udah restock lagi tuh di Shopee, checkout sekarang sebelum sold out lagi 👀!#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",203,33,Cek harga kak? Verified in Indonesia Instagram from AI,post,"(244, 245, 245)",unknown,2025-06-25 08:44:33,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,8,Wednesday
batikula,https://www.instagram.com/batikula/p/DLRsFj_T5CW/,"Punya batik ini jadi kebanggaan ke kampung halaman 😉?Yupp, Nirwanda Tunik yang motifnya songket khas Palembang ini auto bikin orang tanya asal kita sambil bisa ceritain semua hal baiknya 🤭. Bahkan yang ga asli Palembang pun tetep bisa pakai karena; Kapan lagi punya batik motif khas Nusantara dengan warna secakep ini 🤭?PREMIUM NEW COLLECTION: Nirwanda TunikTersedia mulai 25 Juni 2025 di Shopee & WhatsApp ✅.",51,32,Verified in Indonesia Instagram from AI,post,"(244, 245, 245)",unknown,2025-06-24 08:12:21,Clothing (Brand),,8,Tuesday
batikula,https://www.instagram.com/batikula/reel/DLRWI5kzWWN/,"Si paling ceria di kantor bukan karena habis gajian aja 😉!Tapi karena day to day nya bisa pakai outfit yang disukai kayak dua outfit ini:💜 Utami Tunik🤎 Kedasih BlouseFavoritmu yang mana, Batikulamates 😉?BATIKULA Restock CollectionTersedia mulai 25 Juni 2025 di Shopee & WhatsApp ✅.",95,33,Verified in Indonesia Instagram from AI,reel,,,2025-06-24 05:00:00,Clothing (Brand),,5,Tuesday
batikula,https://www.instagram.com/batikula/p/DLPMQCwT2fi/,"265 likes, 1 comments - batikula on June 23, 2025",265,33,Right Verified in Indonesia Instagram from AI,post,"(242, 242, 242)",unknown,2025-06-23 09:04:22,Clothing (Brand),,9,Monday
batikula,https://www.instagram.com/batikula/p/DLPMgkSTgnt/,"Say YES to white 🤍!Pakai baju warna putih tuh banyak takutnya:❌ Takut kotor❌ Takut mencolok❌ Takut nerawangPadahal sekarang ada Purwaning Tunik yang aman & nyaman banget ☺️. Motifnya simple, warnanya soft, lapisan tricotnya lembut 💯. Pas buat yang mau coba ganti style outfit 👌.PREMIUM NEW COLLECTION: Purwaning TunikTersedia mulai 25 Juni 2025 di Shopee & WhatsApp ✅.#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",218,35,Spil hrg Berapa min? Kak admin kasih komisi lah buat shopee affiliate Verified in Indonesia Instagram from AI,post,"(244, 245, 245)",unknown,2025-06-23 08:57:56,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,8,Monday
batikula,https://www.instagram.com/batikula/reel/DLMPtkmTOzW/,"Hal sederhana apa yang bikin kamu inget rumah 🤔?Kalau yang asli Palembang, pasti auto relate sama koleksi ini. Nirwanda Tunik ini punya motif songket khas dengan warna Burgundy 😁. No worries karena ini koleksi premium yang ada lapisan furing tricotnya ✅. Nyaman & lembut buat ngantor seharian 😉.PREMIUM NEW COLLECTION: Nirwanda TunikSegera tersedia di Batikula ✨!#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",60,40,Ada ukuran jumbo ga ka Cantiq Bagai mana cara belinya Mauuuu kak Mau. Bagaimana cara belinya Wahh Palembang Verified in Indonesia Instagram from AI,reel,,,2025-06-22 05:32:54,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,5,Sunday
batikula,https://www.instagram.com/batikula/reel/DLJj7O2TmAG/,"Kamu sering ngerasa ragu atau ga pede pakai baju warna putih 🤔?Mila dulu juga gitu, tapi semenjak bikin Purwaning Tunik, malah jadi suka banget 🤍. Ga nerawang karena ada lapisan furing tricot premium, dan motifnya ga rame jadi punya kesan berkelas ✨.PREMIUM NEW COLLECTION: Purwaning TunikSegera tersedia di Batikula 😉!#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja",97,39,Offline storenya ada g kak? Yg ini gk ada lagi kah Ini bagian tangannya ada furingnya tdk ya Kapan ready Kapan sih ready nya ka? Bolak balik cek takut ketinggalan dan kehabisan Verified in Indonesia Instagram from AI,reel,,,2025-06-21 04:29:41,Clothing (Brand),#batik #batikmodern #batikkerja #batikkantor #batikpastel #batikindonesia #batikula #batiksolo #batikwanitakerja,4,Saturday
